index, frame, sample, time, raw[0], cal[0]
223,122,1,1.12582,2312,0.16218
224,123,0,1.13084,2312,0.16218
225,123,1,1.13587,2310,0.178846
226,124,0,1.1409,2314,0.145513
227,124,1,1.14592,2311,0.170513
228,125,0,1.15095,2312,0.16218
229,125,1,1.15597,2311,0.170513
230,126,0,1.161,2313,0.153846
231,126,1,1.16603,2312,0.16218
232,127,0,1.17105,2312,0.16218
233,127,1,1.17608,2312,0.16218
234,128,0,1.1811,2311,0.170513
235,128,1,1.18613,2313,0.153846
236,129,0,1.19116,2312,0.16218
237,129,1,1.19618,2311,0.170513
238,130,0,1.20121,2311,0.170513
239,130,1,1.20623,2312,0.16218
240,131,0,1.21126,2312,0.16218
241,131,1,1.21629,2312,0.16218
242,132,0,1.22131,2311,0.170513
243,132,1,1.22634,2313,0.153846
244,133,0,1.23136,2310,0.178846
245,133,1,1.23639,2314,0.145513
246,134,0,1.24142,2310,0.178846
247,134,1,1.24644,2312,0.16218
248,135,0,1.25147,2312,0.16218
249,135,1,1.25649,2311,0.170513
250,136,0,1.26152,2312,0.16218
251,136,1,1.26655,2312,0.16218
252,137,0,1.27157,2311,0.170513
253,137,1,1.2766,2312,0.16218
254,138,0,1.28162,2312,0.16218
255,138,1,1.28665,2311,0.170513
256,139,0,1.29168,2312,0.16218
257,139,1,1.2967,2311,0.170513
258,140,0,1.30173,2311,0.170513
259,140,1,1.30675,2312,0.16218
260,141,0,1.31178,2312,0.16218
261,141,1,1.31681,2311,0.170513
262,142,0,1.32183,2312,0.16218
263,142,1,1.32686,2311,0.170513
264,143,0,1.33188,2312,0.16218
265,143,1,1.33691,2311,0.170513
266,144,0,1.34194,2311,0.170513
267,144,1,1.34696,2311,0.170513
268,145,0,1.35199,2311,0.170513
269,145,1,1.35701,2312,0.16218
270,146,0,1.36204,2312,0.16218
271,146,1,1.36706,2311,0.170513
272,147,0,1.37209,2312,0.16218
273,147,1,1.37712,2311,0.170513
274,148,0,1.38214,2312,0.16218
275,148,1,1.38717,2312,0.16218
276,149,0,1.39219,2311,0.170513
277,149,1,1.39722,2312,0.16218
278,150,0,1.40225,2311,0.170513
279,150,1,1.40727,2311,0.170513
280,151,0,1.4123,2311,0.170513
281,151,1,1.41732,2310,0.178846
282,152,0,1.42235,2311,0.170513
283,152,1,1.42738,2310,0.178846
284,153,0,1.4324,2311,0.170513
285,153,1,1.43743,2310,0.178846
286,154,0,1.44245,2311,0.170513
287,154,1,1.44748,2310,0.178846
288,155,0,1.45251,2311,0.170513
289,155,1,1.45753,2310,0.178846
290,156,0,1.46256,2311,0.170513
291,156,1,1.46758,2310,0.178846
292,157,0,1.47261,2310,0.178846
293,157,1,1.47764,2310,0.178846
294,158,0,1.48266,2311,0.170513
295,158,1,1.48769,2310,0.178846
296,159,0,1.49271,2311,0.170513
297,159,1,1.49774,2310,0.178846
298,160,0,1.50277,2311,0.170513
299,160,1,1.50779,2311,0.170513
300,161,0,1.51282,2310,0.178846
301,161,1,1.51784,2311,0.170513
302,162,0,1.52287,2311,0.170513
303,162,1,1.5279,2310,0.178846
304,163,0,1.53292,2310,0.178846
305,163,1,1.53795,2311,0.170513
306,164,0,1.54297,2311,0.170513
307,164,1,1.548,2310,0.178846
308,165,0,1.55303,2310,0.178846
309,165,1,1.55805,2311,0.170513
310,166,0,1.56308,2311,0.170513
311,166,1,1.5681,2311,0.170513
312,167,0,1.57313,2310,0.178846
313,167,1,1.57816,2311,0.170513
314,168,0,1.58318,2311,0.170513
315,168,1,1.58821,2311,0.170513
316,169,0,1.59323,2310,0.178846
317,169,1,1.59826,2310,0.178846
318,170,0,1.60329,2310,0.178846
319,170,1,1.60831,2311,0.170513
320,171,0,1.61334,2311,0.170513
321,171,1,1.61836,2310,0.178846
322,172,0,1.62339,2311,0.170513
323,172,1,1.62842,2310,0.178846
324,173,0,1.63344,2310,0.178846
325,173,1,1.63847,2310,0.178846
326,174,0,1.64349,2310,0.178846
327,174,1,1.64852,2311,0.170513
328,175,0,1.65355,2310,0.178846
329,175,1,1.65857,2311,0.170513
330,176,0,1.6636,2310,0.178846
331,176,1,1.66862,2310,0.178846
332,177,0,1.67365,2310,0.178846
333,177,1,1.67868,2310,0.178846
334,178,0,1.6837,2310,0.178846
335,178,1,1.68873,2311,0.170513
336,179,0,1.69375,2309,0.18718
337,179,1,1.69878,2310,0.178846
338,180,0,1.70381,2310,0.178846
339,180,1,1.70883,2310,0.178846
340,181,0,1.71386,2309,0.18718
341,181,1,1.71888,2310,0.178846
342,182,0,1.72391,2311,0.170513
343,182,1,1.72894,2311,0.170513
344,183,0,1.73396,2310,0.178846
345,183,1,1.73899,2310,0.178846
346,184,0,1.74401,2310,0.178846
347,184,1,1.74904,2310,0.178846
348,185,0,1.75406,2310,0.178846
349,185,1,1.75909,2311,0.170513
350,186,0,1.76412,2310,0.178846
351,186,1,1.76914,2310,0.178846
352,187,0,1.77417,2310,0.178846
353,187,1,1.77919,2311,0.170513
354,188,0,1.78422,2309,0.18718
355,188,1,1.78925,2310,0.178846
356,189,0,1.79427,2310,0.178846
357,189,1,1.7993,2310,0.178846
358,190,0,1.80432,2310,0.178846
359,190,1,1.80935,2310,0.178846
360,191,0,1.81438,2310,0.178846
361,191,1,1.8194,2310,0.178846
362,192,0,1.82443,2309,0.18718
363,192,1,1.82945,2310,0.178846
364,193,0,1.83448,2310,0.178846
365,193,1,1.83951,2310,0.178846
366,194,0,1.84453,2311,0.170513
367,194,1,1.84956,2310,0.178846
368,195,0,1.85458,2311,0.170513
369,195,1,1.85961,2309,0.18718
370,196,0,1.86464,2311,0.170513
371,196,1,1.86966,2311,0.170513
372,197,0,1.87469,2311,0.170513
373,197,1,1.87971,2310,0.178846
374,198,0,1.88474,2310,0.178846
375,198,1,1.88977,2311,0.170513
376,199,0,1.89479,2310,0.178846
377,199,1,1.89982,2309,0.18718
378,200,0,1.90484,2309,0.18718
379,200,1,1.90987,2311,0.170513
380,201,0,1.9149,2311,0.170513
381,201,1,1.91992,2309,0.18718
382,202,0,1.92495,2310,0.178846
383,202,1,1.92997,2310,0.178846
384,203,0,1.935,2310,0.178846
385,203,1,1.94003,2309,0.18718
386,204,0,1.94505,2310,0.178846
387,204,1,1.95008,2309,0.18718
388,205,0,1.9551,2310,0.178846
389,205,1,1.96013,2310,0.178846
390,206,0,1.96516,2311,0.170513
391,206,1,1.97018,2310,0.178846
392,207,0,1.97521,2310,0.178846
393,207,1,1.98023,2309,0.18718
394,208,0,1.98526,2309,0.18718
395,208,1,1.99029,2310,0.178846
396,209,0,1.99531,2309,0.18718
397,209,1,2.00034,2310,0.178846
398,210,0,2.00536,2310,0.178846
399,210,1,2.01039,2311,0.170513
400,211,0,2.01542,2308,0.195513
401,211,1,2.02044,2311,0.170513
402,212,0,2.02547,2310,0.178846
403,212,1,2.03049,2310,0.178846
404,213,0,2.03552,2310,0.178846
405,213,1,2.04055,2310,0.178846
406,214,0,2.04557,2311,0.170513
407,214,1,2.0506,2310,0.178846
408,215,0,2.05562,2310,0.178846
409,215,1,2.06065,2310,0.178846
410,216,0,2.06568,2310,0.178846
411,216,1,2.0707,2311,0.170513
412,217,0,2.07573,2309,0.18718
413,217,1,2.08075,2309,0.18718
414,218,0,2.08578,2309,0.18718
415,218,1,2.09081,2312,0.16218
416,219,0,2.09583,2309,0.18718
417,219,1,2.10086,2310,0.178846
418,220,0,2.10588,2310,0.178846
419,220,1,2.11091,2310,0.178846
420,221,0,2.11594,2309,0.18718
421,221,1,2.12096,2310,0.178846
422,222,0,2.12599,2309,0.18718
423,222,1,2.13101,2310,0.178846
424,223,0,2.13604,2310,0.178846
425,223,1,2.14106,2310,0.178846
426,224,0,2.14609,2310,0.178846
427,224,1,2.15112,2311,0.170513
428,225,0,2.15614,2310,0.178846
429,225,1,2.16117,2311,0.170513
430,226,0,2.16619,2311,0.170513
431,226,1,2.17122,2310,0.178846
432,227,0,2.17625,2310,0.178846
433,227,1,2.18127,2310,0.178846
434,228,0,2.1863,2311,0.170513
435,228,1,2.19132,2310,0.178846
436,229,0,2.19635,2311,0.170513
437,229,1,2.20138,2309,0.18718
438,230,0,2.2064,2310,0.178846
439,230,1,2.21143,2310,0.178846
440,231,0,2.21645,2310,0.178846
441,231,1,2.22148,2311,0.170513
442,232,0,2.22651,2309,0.18718
443,232,1,2.23153,2310,0.178846
444,233,0,2.23656,2311,0.170513
445,233,1,2.24158,2311,0.170513
446,234,0,2.24661,2310,0.178846
447,234,1,2.25164,2308,0.195513
448,235,0,2.25666,2310,0.178846
449,235,1,2.26169,2308,0.195513
450,236,0,2.26671,2312,0.16218
451,236,1,2.27174,2310,0.178846
452,237,0,2.27677,2312,0.16218
453,237,1,2.28179,2311,0.170513
454,238,0,2.28682,2310,0.178846
455,238,1,2.29184,2309,0.18718
456,239,0,2.29687,2311,0.170513
457,239,1,2.3019,2307,0.203846
458,240,0,2.30692,2312,0.16218
459,240,1,2.31195,2309,0.18718
460,241,0,2.31697,2310,0.178846
461,241,1,2.322,2309,0.18718
462,242,0,2.32703,2311,0.170513
463,242,1,2.33205,2309,0.18718
464,243,0,2.33708,2310,0.178846
465,243,1,2.3421,2308,0.195513
466,244,0,2.34713,2311,0.170513
467,244,1,2.35216,2309,0.18718
468,245,0,2.35718,2309,0.18718
469,245,1,2.36221,2311,0.170513
470,246,0,2.36723,2310,0.178846
471,246,1,2.37226,2309,0.18718
472,247,0,2.37729,2310,0.178846
473,247,1,2.38231,2309,0.18718
474,248,0,2.38734,2308,0.195513
475,248,1,2.39236,2310,0.178846
476,249,0,2.39739,2312,0.16218
477,249,1,2.40242,2310,0.178846
478,250,0,2.40744,2309,0.18718
479,250,1,2.41247,2310,0.178846
480,251,0,2.41749,2308,0.195513
481,251,1,2.42252,2311,0.170513
482,252,0,2.42755,2310,0.178846
483,252,1,2.43257,2311,0.170513
484,253,0,2.4376,2310,0.178846
485,253,1,2.44262,2309,0.18718
486,254,0,2.44765,2310,0.178846
487,254,1,2.45268,2308,0.195513
488,255,0,2.4577,2310,0.178846
489,255,1,2.46273,2309,0.18718
490,0,0,2.46775,2310,0.178846
491,0,1,2.47278,2307,0.203846
492,1,0,2.47781,2310,0.178846
493,1,1,2.48283,2310,0.178846
494,2,0,2.48786,2310,0.178846
495,2,1,2.49288,2310,0.178846
496,3,0,2.49791,2310,0.178846
497,3,1,2.50294,2311,0.170513
498,4,0,2.50796,2309,0.18718
499,4,1,2.51299,2302,0.245513
500,5,0,2.51801,2309,0.18718
501,5,1,2.52304,2344,-0.104487
502,6,0,2.52806,2362,-0.254487
503,6,1,2.53309,2349,-0.146154
504,7,0,2.53812,2372,-0.33782
505,7,1,2.54314,2398,-0.554487
506,8,0,2.54817,2385,-0.446154
507,8,1,2.55319,2382,-0.421154
508,9,0,2.55822,2379,-0.396154
509,9,1,2.56325,2371,-0.329487
510,10,0,2.56827,2362,-0.254487
511,10,1,2.5733,2360,-0.23782
512,11,0,2.57832,2351,-0.16282
513,11,1,2.58335,2336,-0.0378204
514,12,0,2.58838,2328,0.0288462
515,12,1,2.5934,2321,0.0871796
516,13,0,2.59843,2317,0.120513
517,13,1,2.60345,2313,0.153846
518,14,0,2.60848,2311,0.170513
519,14,1,2.61351,2312,0.16218
520,15,0,2.61853,2312,0.16218
521,15,1,2.62356,2314,0.145513
522,16,0,2.62858,2312,0.16218
523,16,1,2.63361,2312,0.16218
524,17,0,2.63864,2316,0.128846
525,17,1,2.64366,2314,0.145513
526,18,0,2.64869,2314,0.145513
527,18,1,2.65371,2314,0.145513
528,19,0,2.65874,2313,0.153846
529,19,1,2.66377,2312,0.16218
530,20,0,2.66879,2311,0.170513
531,20,1,2.67382,2310,0.178846
532,21,0,2.67884,2309,0.18718
533,21,1,2.68387,2310,0.178846
534,22,0,2.6889,2309,0.18718
535,22,1,2.69392,2309,0.18718
536,23,0,2.69895,2308,0.195513
537,23,1,2.70397,2311,0.170513
538,24,0,2.709,2313,0.153846
539,24,1,2.71403,2314,0.145513
540,25,0,2.71905,2314,0.145513
541,25,1,2.72408,2315,0.13718
542,26,0,2.7291,2314,0.145513
543,26,1,2.73413,2314,0.145513
544,27,0,2.73916,2314,0.145513
545,27,1,2.74418,2315,0.13718
546,28,0,2.74921,2315,0.13718
547,28,1,2.75423,2316,0.128846
548,29,0,2.75926,2315,0.13718
549,29,1,2.76429,2315,0.13718
550,30,0,2.76931,2314,0.145513
551,30,1,2.77434,2314,0.145513
552,31,0,2.77936,2312,0.16218
553,31,1,2.78439,2311,0.170513
554,32,0,2.78942,2310,0.178846
555,32,1,2.79444,2310,0.178846
556,33,0,2.79947,2309,0.18718
557,33,1,2.80449,2308,0.195513
558,34,0,2.80952,2308,0.195513
559,34,1,2.81455,2309,0.18718
560,35,0,2.81957,2310,0.178846
561,35,1,2.8246,2310,0.178846
562,36,0,2.82962,2310,0.178846
563,36,1,2.83465,2310,0.178846
564,37,0,2.83968,2309,0.18718
565,37,1,2.8447,2311,0.170513
566,38,0,2.84973,2311,0.170513
567,38,1,2.85475,2311,0.170513
568,39,0,2.85978,2312,0.16218
569,39,1,2.86481,2312,0.16218
570,40,0,2.86983,2312,0.16218
571,40,1,2.87486,2312,0.16218
572,41,0,2.87988,2312,0.16218
573,41,1,2.88491,2312,0.16218
574,42,0,2.88994,2312,0.16218
575,42,1,2.89496,2312,0.16218
576,43,0,2.89999,2312,0.16218
577,43,1,2.90501,2312,0.16218
578,44,0,2.91004,2312,0.16218
579,44,1,2.91506,2311,0.170513
580,45,0,2.92009,2312,0.16218
581,45,1,2.92512,2311,0.170513
582,46,0,2.93014,2311,0.170513
583,46,1,2.93517,2312,0.16218
584,47,0,2.94019,2311,0.170513
585,47,1,2.94522,2311,0.170513
586,48,0,2.95025,2312,0.16218
587,48,1,2.95527,2312,0.16218
588,49,0,2.9603,2312,0.16218
589,49,1,2.96532,2312,0.16218
590,50,0,2.97035,2312,0.16218
591,50,1,2.97538,2312,0.16218
592,51,0,2.9804,2312,0.16218
593,51,1,2.98543,2312,0.16218
594,52,0,2.99045,2312,0.16218
595,52,1,2.99548,2312,0.16218
596,53,0,3.00051,2312,0.16218
597,53,1,3.00553,2312,0.16218
598,54,0,3.01056,2312,0.16218
599,54,1,3.01558,2312,0.16218
600,55,0,3.02061,2312,0.16218
601,55,1,3.02564,2313,0.153846
602,55,2,3.03066,2312,0.16218
603,56,0,3.03569,2312,0.16218
604,57,0,3.04071,2311,0.170513
605,57,1,3.04574,2311,0.170513
606,57,2,3.05077,2311,0.170513
607,58,0,3.05579,2311,0.170513
608,59,0,3.06082,2311,0.170513
609,59,1,3.06584,2311,0.170513
610,60,0,3.07087,2310,0.178846
611,60,1,3.0759,2311,0.170513
612,61,0,3.08092,2310,0.178846
613,61,1,3.08595,2311,0.170513
614,62,0,3.09097,2310,0.178846
615,62,1,3.096,2310,0.178846
616,63,0,3.10103,2310,0.178846
617,63,1,3.10605,2310,0.178846
618,64,0,3.11108,2311,0.170513
619,64,1,3.1161,2310,0.178846
620,65,0,3.12113,2310,0.178846
621,65,1,3.12616,2310,0.178846
622,66,0,3.13118,2310,0.178846
623,66,1,3.13621,2310,0.178846
624,67,0,3.14123,2310,0.178846
625,67,1,3.14626,2310,0.178846
626,68,0,3.15129,2310,0.178846
627,68,1,3.15631,2310,0.178846
628,69,0,3.16134,2310,0.178846
629,69,1,3.16636,2310,0.178846
630,70,0,3.17139,2310,0.178846
631,70,1,3.17642,2310,0.178846
632,71,0,3.18144,2310,0.178846
633,71,1,3.18647,2310,0.178846
634,72,0,3.19149,2310,0.178846
635,72,1,3.19652,2311,0.170513
636,73,0,3.20155,2310,0.178846
637,73,1,3.20657,2311,0.170513
638,74,0,3.2116,2310,0.178846
639,74,1,3.21662,2311,0.170513
640,75,0,3.22165,2311,0.170513
641,75,1,3.22668,2312,0.16218
642,76,0,3.2317,2311,0.170513
643,76,1,3.23673,2312,0.16218
644,77,0,3.24175,2312,0.16218
645,77,1,3.24678,2312,0.16218
646,78,0,3.25181,2312,0.16218
647,78,1,3.25683,2312,0.16218
648,79,0,3.26186,2311,0.170513
649,80,0,3.26688,2311,0.170513
650,81,0,3.27191,2311,0.170513
651,81,1,3.27694,2311,0.170513
652,82,0,3.28196,2310,0.178846
653,82,1,3.28699,2310,0.178846
654,83,0,3.29201,2310,0.178846
655,83,1,3.29704,2310,0.178846
656,84,0,3.30206,2310,0.178846
657,84,1,3.30709,2310,0.178846
658,85,0,3.31212,2309,0.18718
659,85,1,3.31714,2309,0.18718
660,86,0,3.32217,2309,0.18718
661,86,1,3.32719,2308,0.195513
662,87,0,3.33222,2309,0.18718
663,87,1,3.33725,2309,0.18718
664,88,0,3.34227,2308,0.195513
665,88,1,3.3473,2308,0.195513
666,89,0,3.35232,2309,0.18718
667,89,1,3.35735,2310,0.178846
668,90,0,3.36238,2310,0.178846
669,90,1,3.3674,2310,0.178846
670,90,2,3.37243,2310,0.178846
671,91,0,3.37745,2311,0.170513
672,92,0,3.38248,2310,0.178846
673,92,1,3.38751,2310,0.178846
674,93,0,3.39253,2310,0.178846
675,93,1,3.39756,2310,0.178846
676,94,0,3.40258,2310,0.178846
677,94,1,3.40761,2310,0.178846
678,95,0,3.41264,2310,0.178846
679,95,1,3.41766,2310,0.178846
680,96,0,3.42269,2310,0.178846
681,96,1,3.42771,2309,0.18718
682,97,0,3.43274,2311,0.170513
683,97,1,3.43777,2310,0.178846
684,98,0,3.44279,2310,0.178846
685,98,1,3.44782,2310,0.178846
686,99,0,3.45284,2309,0.18718
687,99,1,3.45787,2310,0.178846
688,100,0,3.4629,2310,0.178846
689,100,1,3.46792,2310,0.178846
690,101,0,3.47295,2309,0.18718
691,101,1,3.47797,2309,0.18718
692,102,0,3.483,2309,0.18718
693,102,1,3.48803,2309,0.18718
694,103,0,3.49305,2309,0.18718
695,103,1,3.49808,2309,0.18718
696,104,0,3.5031,2309,0.18718
697,104,1,3.50813,2309,0.18718
698,105,0,3.51316,2309,0.18718
699,105,1,3.51818,2309,0.18718
700,106,0,3.52321,2309,0.18718
701,106,1,3.52823,2309,0.18718
702,107,0,3.53326,2309,0.18718
703,107,1,3.53829,2309,0.18718
704,108,0,3.54331,2309,0.18718
705,108,1,3.54834,2310,0.178846
706,109,0,3.55336,2309,0.18718
707,109,1,3.55839,2309,0.18718
708,110,0,3.56342,2309,0.18718
709,110,1,3.56844,2309,0.18718
710,111,0,3.57347,2309,0.18718
711,111,1,3.57849,2310,0.178846
712,112,0,3.58352,2310,0.178846
713,112,1,3.58855,2310,0.178846
714,113,0,3.59357,2310,0.178846
715,113,1,3.5986,2310,0.178846
716,114,0,3.60362,2310,0.178846
717,114,1,3.60865,2310,0.178846
718,115,0,3.61368,2310,0.178846
719,115,1,3.6187,2310,0.178846
720,116,0,3.62373,2309,0.18718
